"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
244.528301886792,190.188679245283,0,0,0,217.358490566038,81.5094339622642,0,217.358490566038,0,0,217.358490566038,0,0,271.698113207547
640,0,0,0,0,0,0,0,0,0,0,0,0,0,800
334.883720930233,234.418604651163,0,0,0,200.93023255814,267.906976744186,0,0,0,0,0,0,66.9767441860465,334.883720930233
117.551020408163,58.7755102040816,117.551020408163,0,0,293.877551020408,176.326530612245,0,176.326530612245,0,0,176.326530612245,205.714285714286,88.1632653061224,29.3877551020408
180,360,0,0,0,0,135,0,180,0,0,225,0,0,360
187.826086956522,313.04347826087,0,125.217391304348,0,0,125.217391304348,0,93.9130434782609,0,0,281.739130434783,0,0,313.04347826087
389.189189189189,389.189189189189,0,0,0,77.8378378378378,389.189189189189,0,194.594594594595,0,0,0,0,0,0
130.909090909091,130.909090909091,0,0,0,0,0,0,196.363636363636,0,0,65.4545454545455,392.727272727273,0,523.636363636364
180,90,0,0,0,0,360,0,0,0,0,270,0,0,540
288,288,0,0,0,0,144,0,384,0,0,0,0,0,336
29.3877551020408,176.326530612245,176.326530612245,205.714285714286,0,0,146.938775510204,0,29.3877551020408,0,0,205.714285714286,88.1632653061224,88.1632653061224,293.877551020408
213.333333333333,106.666666666667,0,0,0,266.666666666667,266.666666666667,0,0,0,0,266.666666666667,0,0,320
197.647058823529,112.941176470588,0,0,0,282.352941176471,141.176470588235,0,282.352941176471,0,0,56.4705882352941,141.176470588235,0,225.882352941176
480,373.333333333333,0,0,0,53.3333333333333,266.666666666667,0,106.666666666667,0,0,106.666666666667,0,0,53.3333333333333
240,68.5714285714286,274.285714285714,0,0,0,308.571428571429,0,34.2857142857143,0,0,240,0,0,274.285714285714
22.8571428571429,114.285714285714,68.5714285714286,182.857142857143,0,228.571428571429,68.5714285714286,0,91.4285714285714,0,0,137.142857142857,160,137.142857142857,228.571428571429
274.285714285714,34.2857142857143,0,0,0,308.571428571429,34.2857142857143,137.142857142857,171.428571428571,34.2857142857143,0,342.857142857143,0,0,102.857142857143
160,160,0,0,0,0,0,0,320,0,0,0,0,0,800
293.877551020408,293.877551020408,0,0,0,205.714285714286,293.877551020408,0,58.7755102040816,0,0,0,0,235.102040816327,58.7755102040816
350.27027027027,233.513513513514,0,0,0,272.432432432432,194.594594594595,0,155.675675675676,0,0,38.9189189189189,0,0,194.594594594595
88.1632653061224,58.7755102040816,0,235.102040816327,0,264.489795918367,205.714285714286,0,117.551020408163,0,0,293.877551020408,0,88.1632653061224,88.1632653061224
110.769230769231,147.692307692308,0,0,0,0,110.769230769231,0,295.384615384615,0,0,184.615384615385,258.461538461538,0,332.307692307692
80,320,0,0,0,80,800,0,0,0,0,0,0,0,160
248.275862068966,397.241379310345,297.931034482759,0,0,198.620689655172,99.3103448275862,0,148.965517241379,0,0,49.6551724137931,0,0,0
230.4,288,0,0,0,172.8,259.2,0,172.8,0,0,115.2,0,0,201.6
320,533.333333333333,0,0,0,0,53.3333333333333,0,266.666666666667,0,0,213.333333333333,0,0,53.3333333333333
169.411764705882,254.117647058824,0,84.7058823529412,0,42.3529411764706,338.823529411765,0,254.117647058824,0,0,169.411764705882,0,0,127.058823529412
240,210,60,270,0,120,120,0,0,0,0,210,0,120,90
308.571428571429,102.857142857143,0,0,0,34.2857142857143,0,0,308.571428571429,0,0,34.2857142857143,342.857142857143,0,308.571428571429
108.679245283019,190.188679245283,271.698113207547,190.188679245283,0,0,0,0,190.188679245283,0,0,163.018867924528,0,217.358490566038,108.679245283019
270,225,0,0,0,135,0,0,0,0,0,315,0,135,360
211.764705882353,42.3529411764706,0,423.529411764706,0,42.3529411764706,254.117647058824,0,211.764705882353,0,0,254.117647058824,0,0,0
267.906976744186,334.883720930233,0,0,0,234.418604651163,267.906976744186,0,33.4883720930233,0,0,0,0,167.441860465116,133.953488372093
387.692307692308,387.692307692308,0,0,0,0,0,0,276.923076923077,0,0,387.692307692308,0,0,0
45,90,0,0,0,0,180,0,90,0,0,450,0,315,270
306.382978723404,275.744680851064,0,0,0,0,183.829787234043,61.2765957446808,183.829787234043,0,0,214.468085106383,0,0,214.468085106383
245.853658536585,70.2439024390244,0,0,0,35.1219512195122,35.1219512195122,0,316.09756097561,0,0,351.219512195122,0,35.1219512195122,351.219512195122
180,120,180,0,0,30,270,0,90,0,0,270,0,0,300
423.529411764706,381.176470588235,0,0,0,169.411764705882,42.3529411764706,0,127.058823529412,0,0,0,0,0,296.470588235294
327.272727272727,523.636363636364,0,0,0,0,392.727272727273,0,0,0,0,0,196.363636363636,0,0
249.230769230769,249.230769230769,0,0,0,55.3846153846154,110.769230769231,0,166.153846153846,221.538461538462,0,166.153846153846,0,0,221.538461538462
221.538461538462,295.384615384615,0,0,0,295.384615384615,36.9230769230769,0,147.692307692308,0,0,0,110.769230769231,0,332.307692307692
211.764705882353,338.823529411765,211.764705882353,0,0,84.7058823529412,338.823529411765,0,0,0,0,127.058823529412,0,0,127.058823529412
306.382978723404,245.106382978723,0,0,0,183.829787234043,214.468085106383,0,214.468085106383,0,0,0,153.191489361702,0,122.553191489362
301.395348837209,33.4883720930233,301.395348837209,0,0,0,200.93023255814,0,133.953488372093,0,0,100.46511627907,33.4883720930233,0,334.883720930233
135,270,0,0,0,0,135,0,45,0,0,450,0,0,405
496.551724137931,397.241379310345,0,0,0,0,49.6551724137931,0,0,0,0,297.931034482759,0,0,198.620689655172
214.468085106383,183.829787234043,61.2765957446808,0,0,214.468085106383,153.191489361702,0,0,0,0,122.553191489362,0,245.106382978723,245.106382978723
189.473684210526,341.052631578947,0,0,0,227.368421052632,378.947368421053,0,0,0,0,151.578947368421,0,0,151.578947368421
533.333333333333,106.666666666667,0,0,0,0,0,0,266.666666666667,0,0,0,0,426.666666666667,106.666666666667
66.9767441860465,100.46511627907,0,301.395348837209,0,100.46511627907,234.418604651163,334.883720930233,133.953488372093,0,0,33.4883720930233,0,33.4883720930233,100.46511627907
144,108,0,0,0,0,180,0,0,0,0,288,324,252,144
308.571428571429,274.285714285714,0,0,0,240,342.857142857143,0,240,0,0,0,0,0,34.2857142857143
378.947368421053,227.368421052632,0,0,0,75.7894736842105,265.263157894737,0,265.263157894737,0,0,0,0,0,227.368421052632
316.09756097561,316.09756097561,0,0,0,70.2439024390244,105.365853658537,0,351.219512195122,0,0,0,0,0,280.975609756098
197.647058823529,84.7058823529412,282.352941176471,282.352941176471,0,56.4705882352941,0,0,28.2352941176471,0,0,197.647058823529,254.117647058824,28.2352941176471,28.2352941176471
65.4545454545455,130.909090909091,0,0,0,0,65.4545454545455,0,523.636363636364,0,0,0,0,0,654.545454545455
144,288,0,0,0,86.4,57.6,0,288,0,0,0,288,0,288
254.117647058824,254.117647058824,0,0,0,225.882352941176,112.941176470588,0,254.117647058824,0,0,56.4705882352941,0,169.411764705882,112.941176470588
160,400,320,0,0,280,80,0,0,0,0,80,0,0,120
108,72,72,0,0,324,252,0,288,0,0,0,0,0,324
576,403.2,0,0,0,57.6,57.6,0,230.4,0,0,115.2,0,0,0
174.545454545455,87.2727272727273,0,0,0,43.6363636363636,436.363636363636,0,87.2727272727273,0,0,261.818181818182,0,0,349.090909090909
480,180,0,0,0,60,60,0,0,0,0,180,0,0,480
334.883720930233,267.906976744186,0,0,0,0,0,0,267.906976744186,0,0,133.953488372093,0,334.883720930233,100.46511627907
96,480,0,0,0,144,432,0,0,0,0,144,0,0,144
128.571428571429,77.1428571428571,25.7142857142857,0,0,180,205.714285714286,0,77.1428571428571,0,0,231.428571428571,0,257.142857142857,257.142857142857
288,64,256,0,0,224,0,0,96,0,0,288,0,0,224
205.714285714286,205.714285714286,0,0,0,257.142857142857,514.285714285714,0,154.285714285714,0,0,0,0,51.4285714285714,51.4285714285714
68.5714285714286,205.714285714286,102.857142857143,0,0,68.5714285714286,205.714285714286,0,0,0,137.142857142857,34.2857142857143,274.285714285714,0,342.857142857143
480,180,0,0,0,0,60,0,360,0,0,300,0,0,60
392.727272727273,261.818181818182,0,0,0,65.4545454545455,261.818181818182,0,261.818181818182,0,0,0,0,0,196.363636363636
211.764705882353,254.117647058824,0,0,0,423.529411764706,42.3529411764706,0,338.823529411765,0,0,0,0,0,169.411764705882
